ensg,symbol,HVG_rank,HVG_normrank,HVG_normscore,DE_Immune_rank,DE_Immune_normrank,DE_Immune_normscore,DE_Malignant_rank,DE_Malignant_normrank,DE_Malignant_normscore,SpaPROS_rank,SpaPROS_normrank,SpaPROS_normscore,scGeneFit_rank,scGeneFit_normrank,scGeneFit_normscore,RF_celltype_rank,RF_celltype_normrank,RF_celltype_normscore,RF_malignant_rank,RF_malignant_normrank,RF_malignant_normscore,n_methods,mean_normrank,mean_normscore,aggregate_score
ENSG00000110171,ENSG00000110171,,,,,,,6772.0,0.4168460942209973,0.07010989515868786,,,,,,,,,,,,,1,0.4168460942209973,0.07010989515868786,2.4869559893796853
ENSG00000161217,ENSG00000161217,,,,,,,6774.0,0.41667384376883987,0.07007281132462606,,,,,,,,,,,,,1,0.41667384376883987,0.07007281132462606,2.486746655093466
ENSG00000163596,ENSG00000163596,,,,2477.0,0.4571365928524447,0.029413375981289958,,,,,,,,,,,,,,,,1,0.4571365928524447,0.029413375981289958,2.4865499688337347
ENSG00000223547,ENSG00000223547,,,,,,,6777.0,0.4164154680906037,0.07004227382997565,,,,,,,,,,,,,1,0.4164154680906037,0.07004227382997565,2.4864577419205793
ENSG00000164162,ENSG00000164162,,,,,,,6778.0,0.41632934286452505,0.0700246114072978,,,,,,,,,,,,,1,0.41632934286452505,0.0700246114072978,2.4863539542718227
ENSG00000177352,ENSG00000177352,,,,,,,6780.0,0.41615709241236754,0.07001623354356355,,,,,,,,,,,,,1,0.41615709241236754,0.07001623354356355,2.486173325955931
ENSG00000112242,ENSG00000112242,,,,,,,6781.0,0.4160709671862889,0.07001527244664164,,,,,,,,,,,,,1,0.4160709671862889,0.07001527244664164,2.4860862396329306
ENSG00000120251,ENSG00000120251,,,,,,,6782.0,0.4159848419602101,0.07001093844354103,,,,,,,,,,,,,1,0.4159848419602101,0.07001093844354103,2.485995780403751
ENSG00000149636,ENSG00000149636,,,,,,,6783.0,0.4158987167341315,0.06999641318628748,,,,,,,,,,,,,1,0.4158987167341315,0.06999641318628748,2.485895129920419
ENSG00000138376,ENSG00000138376,,,,,,,6785.0,0.41572646628197396,0.06998933189670258,,,,,,,,,,,,,1,0.41572646628197396,0.06998933189670258,2.485715798178677
