gene,rank_in_group,scores,log2fc,n_groups,agg_rank,symbol
ENSG00000178531,4745.0,11.968063,6.4777975,1,4743.803193688393,ENSG00000178531
ENSG00000100354,4746.0,11.967394,2.0907238,1,4744.803260564804,ENSG00000100354
ENSG00000117758,4747.0,11.965868,4.9296465,1,4745.803413152695,ENSG00000117758
ENSG00000072756,4748.0,11.962018,4.0096054,1,4746.8037981987,ENSG00000072756
ENSG00000183853,4749.0,11.957787,6.29641,1,4747.804221391678,ENSG00000183853
ENSG00000188603,4750.0,11.9559355,2.5923226,1,4748.804406404495,ENSG00000188603
ENSG00000143786,4751.0,11.955533,6.199759,1,4749.804446697235,ENSG00000143786
ENSG00000102109,4752.0,11.955209,3.47262,1,4750.804479122162,PCSK1N
ENSG00000110063,4753.0,11.954454,3.394058,1,4751.804554581642,ENSG00000110063
ENSG00000084636,4754.0,11.954372,6.6341662,1,4752.804562807083,ENSG00000084636
ENSG00000109452,4755.0,11.951382,0.93958694,1,4753.804861783981,ENSG00000109452
ENSG00000105875,4756.0,11.948035,4.5359,1,4754.805196523666,ENSG00000105875
ENSG00000000457,4757.0,11.943722,1.7952464,1,4755.805627822876,ENSG00000000457
ENSG00000143458,4758.0,11.942408,2.4620907,1,4756.805759191513,ENSG00000143458
ENSG00000050748,4759.0,11.939485,2.3877745,1,4757.806051492691,ENSG00000050748
ENSG00000115129,4760.0,11.938732,4.403817,1,4758.806126832962,ENSG00000115129
ENSG00000148362,4761.0,11.9366455,0.5425703,1,4759.806335449219,ENSG00000148362
ENSG00000014919,4762.0,11.935405,1.932992,1,4760.806459546089,ENSG00000014919
ENSG00000182197,4763.0,11.925026,5.512505,1,4761.807497382164,ENSG00000182197
ENSG00000157106,4764.0,11.923863,5.88558,1,4762.807613611221,ENSG00000157106
ENSG00000173531,4765.0,11.923813,4.3004036,1,4763.807618737221,ENSG00000173531
ENSG00000142166,4766.0,11.923807,2.5323558,1,4764.807619333267,ENSG00000142166
ENSG00000088298,4767.0,11.921996,2.4616356,1,4765.807800412178,ENSG00000088298
ENSG00000103018,4768.0,11.92179,4.7427516,1,4766.807821035385,ENSG00000103018
ENSG00000166199,4769.0,11.921543,4.467946,1,4767.807845711708,ENSG00000166199
ENSG00000123836,4770.0,11.920806,3.2103739,1,4768.807919383049,ENSG00000123836
ENSG00000134153,4771.0,11.91779,7.901939,1,4769.808220982552,ENSG00000134153
ENSG00000169814,4772.0,11.914279,4.4833927,1,4770.808572053909,ENSG00000169814
ENSG00000148229,4773.0,11.911803,4.6131935,1,4771.808819651604,ENSG00000148229
ENSG00000083635,4774.0,11.910251,5.1084685,1,4772.808974981308,ENSG00000083635
ENSG00000119862,4775.0,11.904669,5.9652896,1,4773.809533119202,ENSG00000119862
ENSG00000116679,4776.0,11.90222,12.937057,1,4774.809777975082,ENSG00000116679
ENSG00000167378,4777.0,11.900895,1.3200417,1,4775.809910535812,ENSG00000167378
ENSG00000178397,4778.0,11.898902,3.5634375,1,4776.8101098537445,ENSG00000178397
ENSG00000106144,4779.0,11.894973,3.0691884,1,4777.810502767563,ENSG00000106144
ENSG00000163781,4780.0,11.8930235,1.9760593,1,4778.810697674751,ENSG00000163781
ENSG00000124249,4781.0,11.882642,5.46427,1,4779.811735868454,ENSG00000124249
ENSG00000158062,4782.0,11.8819475,2.6113079,1,4780.8118052482605,ENSG00000158062
ENSG00000141627,4783.0,11.880468,3.3943176,1,4781.811953186989,ENSG00000141627
ENSG00000133773,4784.0,11.88005,2.9275382,1,4782.8119950294495,ENSG00000133773
ENSG00000185565,4785.0,11.877706,9.652736,1,4783.812229394913,ENSG00000185565
ENSG00000197008,4786.0,11.874121,2.4056647,1,4784.812587976456,ENSG00000197008
ENSG00000115459,4787.0,11.872968,2.1698997,1,4785.812703251839,ENSG00000115459
ENSG00000183674,4788.0,11.867135,12.972152,1,4786.8132865428925,ENSG00000183674
ENSG00000164080,4789.0,11.866988,2.9855862,1,4787.813301205635,ENSG00000164080
ENSG00000140025,4790.0,11.864074,3.8615966,1,4788.813592672348,ENSG00000140025
ENSG00000183337,4791.0,11.861906,3.1015873,1,4789.813809394836,ENSG00000183337
ENSG00000135951,4792.0,11.856832,4.1196027,1,4790.814316868782,ENSG00000135951
ENSG00000122008,4793.0,11.855319,2.9313023,1,4791.8144681453705,ENSG00000122008
ENSG00000131375,4794.0,11.855281,2.5285146,1,4792.814471960068,ENSG00000131375
ENSG00000258289,4795.0,11.854341,4.6800127,1,4793.814565896988,ENSG00000258289
ENSG00000196670,4796.0,11.849573,2.3310952,1,4794.815042734146,ENSG00000196670
ENSG00000163482,4797.0,11.845756,4.918997,1,4795.815424442291,ENSG00000163482
ENSG00000177042,4798.0,11.842412,2.5025642,1,4796.815758824348,ENSG00000177042
ENSG00000162409,4799.0,11.839587,5.6022215,1,4797.816041231155,ENSG00000162409
ENSG00000137992,4800.0,11.8387,1.7267649,1,4798.816129922867,ENSG00000137992
ENSG00000196678,4801.0,11.837044,4.907826,1,4799.816295623779,ENSG00000196678
ENSG00000253797,4802.0,11.836419,2.6278272,1,4800.816358089447,ENSG00000253797
ENSG00000168872,4803.0,11.829866,3.6601946,1,4801.817013382912,ENSG00000168872
ENSG00000123975,4804.0,11.827718,7.5205474,1,4802.817228198051,ENSG00000123975
ENSG00000137414,4805.0,11.826779,2.8397663,1,4803.817322015762,ENSG00000137414
ENSG00000164294,4806.0,11.825683,5.5929556,1,4804.817431688309,ENSG00000164294
ENSG00000110013,4807.0,11.824438,2.7388568,1,4805.817556142807,ENSG00000110013
ENSG00000163166,4808.0,11.823987,4.3579693,1,4806.817601323128,ENSG00000163166
ENSG00000060688,4809.0,11.822618,5.6506677,1,4807.817738294601,ENSG00000060688
ENSG00000070404,4810.0,11.821967,5.0672956,1,4808.817803263664,ENSG00000070404
ENSG00000169855,4811.0,11.818645,5.9902725,1,4809.818135499954,ENSG00000169855
ENSG00000110880,4812.0,11.817035,10.17947,1,4810.818296551704,ENSG00000110880
ENSG00000186409,4813.0,11.8092985,2.3814905,1,4811.819070100784,ENSG00000186409
ENSG00000292366,4814.0,11.808302,4.969949,1,4812.81916975975,ENSG00000292366
ENSG00000048342,4815.0,11.807531,4.654288,1,4813.819246888161,ENSG00000048342
ENSG00000147642,4816.0,11.807183,5.182545,1,4814.819281697273,ENSG00000147642
ENSG00000064933,4817.0,11.807124,3.6076045,1,4815.819287538528,ENSG00000064933
ENSG00000134121,4818.0,11.804772,8.164385,1,4816.819522738457,ENSG00000134121
ENSG00000170264,4819.0,11.802928,4.8029475,1,4817.819707155228,ENSG00000170264
ENSG00000121897,4820.0,11.800051,3.255981,1,4818.819994926453,ENSG00000121897
ENSG00000164654,4821.0,11.796637,2.7269173,1,4819.820336341858,ENSG00000164654
ENSG00000117983,4822.0,11.796579,6.243473,1,4820.820342063904,ENSG00000117983
ENSG00000135002,4823.0,11.795625,3.4871154,1,4821.820437550545,ENSG00000135002
ENSG00000197785,4824.0,11.794134,3.166472,1,4822.820586562157,ENSG00000197785
ENSG00000176834,4825.0,11.791856,2.9537966,1,4823.820814371109,ENSG00000176834
ENSG00000196455,4826.0,11.791658,4.243131,1,4824.820834159851,ENSG00000196455
ENSG00000151474,4827.0,11.79011,3.2973866,1,4825.820989012718,ENSG00000151474
ENSG00000119638,4828.0,11.788399,3.1748922,1,4826.821160078049,ENSG00000119638
ENSG00000148843,4829.0,11.787988,3.1196418,1,4827.821201205254,ENSG00000148843
ENSG00000165416,4830.0,11.786301,5.4389725,1,4828.821369886398,ENSG00000165416
ENSG00000137154,4831.0,11.784836,112.64126,1,4829.821516394615,ENSG00000137154
ENSG00000171467,4832.0,11.782113,2.04605,1,4830.8217886686325,ENSG00000171467
ENSG00000163864,4833.0,11.781753,3.486696,1,4831.821824789047,ENSG00000163864
ENSG00000145782,4834.0,11.77933,5.4215083,1,4832.822067022324,ENSG00000145782
ENSG00000129158,4835.0,11.777086,1.5911465,1,4833.822291374207,ENSG00000129158
ENSG00000016402,4836.0,11.775739,5.25255,1,4834.822426080704,ENSG00000016402
ENSG00000177853,4837.0,11.775696,2.7365344,1,4835.822430372238,ENSG00000177853
ENSG00000158008,4838.0,11.775235,11.988724,1,4836.822476506233,ENSG00000158008
ENSG00000132694,4839.0,11.774681,6.0897617,1,4837.822531938553,ENSG00000132694
ENSG00000138814,4840.0,11.774315,2.0978012,1,4838.822568535805,ENSG00000138814
ENSG00000132792,4841.0,11.773908,4.901283,1,4839.8226091861725,ENSG00000132792
ENSG00000173227,4842.0,11.773529,8.766181,1,4840.822647094727,ENSG00000173227
ENSG00000100982,4843.0,11.773147,3.200949,1,4841.8226853609085,ENSG00000100982
ENSG00000161204,4844.0,11.771785,3.582649,1,4842.822821497917,ENSG00000161204
ENSG00000151093,4845.0,11.771209,4.108265,1,4843.822879076004,ENSG00000151093
ENSG00000144744,4846.0,11.767391,4.351756,1,4844.823260903359,ENSG00000144744
ENSG00000151929,4847.0,11.760923,1.3549399,1,4845.823907613754,ENSG00000151929
ENSG00000134294,4848.0,11.760412,10.307335,1,4846.82395875454,ENSG00000134294
ENSG00000165699,4849.0,11.758869,2.6993818,1,4847.8241131305695,ENSG00000165699
ENSG00000158470,4850.0,11.758745,2.445817,1,4848.824125528336,ENSG00000158470
ENSG00000126106,4851.0,11.758275,4.195484,1,4849.824172496796,ENSG00000126106
ENSG00000269713,4852.0,11.756211,1.7633784,1,4850.824378848076,ENSG00000269713
ENSG00000005007,4853.0,11.752882,2.4886873,1,4851.824711799622,ENSG00000005007
ENSG00000177000,4854.0,11.751445,2.5080163,1,4852.824855566025,ENSG00000177000
ENSG00000170364,4855.0,11.749714,3.7846916,1,4853.825028657913,ENSG00000170364
ENSG00000051596,4856.0,11.745704,3.7660754,1,4854.825429677963,ENSG00000051596
ENSG00000133138,4857.0,11.744255,3.0881562,1,4855.82557451725,ENSG00000133138
ENSG00000075131,4858.0,11.74356,4.1339455,1,4856.825644016266,ENSG00000075131
ENSG00000158022,4859.0,11.742891,10.920261,1,4857.825710892677,ENSG00000158022
ENSG00000126214,4860.0,11.742164,4.1879787,1,4858.825783610344,ENSG00000126214
ENSG00000111077,4861.0,11.741719,4.7007456,1,4859.825828075409,ENSG00000111077
ENSG00000148690,4862.0,11.737785,1.874803,1,4860.826221466064,ENSG00000148690
ENSG00000152620,4863.0,11.735887,3.6867552,1,4861.826411366463,ENSG00000152620
ENSG00000152382,4864.0,11.735113,4.2950783,1,4862.826488733292,ENSG00000152382
ENSG00000134686,4865.0,11.730039,3.4003396,1,4863.826996088028,ENSG00000134686
ENSG00000074657,4866.0,11.729509,3.707422,1,4864.8270490169525,ENSG00000074657
ENSG00000088448,4867.0,11.721286,9.867205,1,4865.827871441841,ENSG00000088448
ENSG00000101333,4868.0,11.698898,5.5909476,1,4866.830110192299,ENSG00000101333
ENSG00000170631,4869.0,11.69656,4.103592,1,4867.830343961716,ENSG00000170631
ENSG00000088970,4870.0,11.694984,4.637978,1,4868.8305015563965,ENSG00000088970
ENSG00000149182,4871.0,11.693861,3.2557902,1,4869.830613851547,ENSG00000149182
ENSG00000260027,4872.0,11.692398,5.9698863,1,4870.830760240555,ENSG00000260027
ENSG00000185800,4873.0,11.688043,2.9748693,1,4871.8311957120895,ENSG00000185800
ENSG00000221926,4874.0,11.687429,4.177642,1,4872.831257104874,ENSG00000221926
ENSG00000125450,4875.0,11.685432,4.31852,1,4873.831456780434,ENSG00000125450
ENSG00000181826,4876.0,11.675976,5.3634267,1,4874.832402467728,ENSG00000181826
ENSG00000116198,4877.0,11.67476,2.307775,1,4875.832524061203,ENSG00000116198
ENSG00000156931,4878.0,11.674688,4.0114164,1,4876.83253121376,ENSG00000156931
ENSG00000175198,4879.0,11.672399,4.6995068,1,4877.832760095596,ENSG00000175198
ENSG00000124587,4880.0,11.6690445,3.101807,1,4878.833095550537,ENSG00000124587
