gene,rank_in_group,scores,log2fc,n_groups,agg_rank,symbol
ENSG00000111077,187.0,20.406649,2.7745008,3,184.95933508872983,ENSG00000111077
ENSG00000112531,186.66666666666663,8.094157,12.738815,3,185.8572509686152,ENSG00000112531
ENSG00000129534,186.66666666666663,5.7467093,34.566776,3,186.0919957558314,ENSG00000129534
ENSG00000171860,188.0,14.757377,70.78767,3,186.5242623090744,ENSG00000171860
ENSG00000024422,189.33333333333331,27.606789,3.0490143,3,186.57265456517536,ENSG00000024422
ENSG00000139679,188.66666666666663,14.479877,28.76928,3,187.21867887179056,ENSG00000139679
ENSG00000064042,188.33333333333331,10.317458,4.1756997,3,187.3015875418981,ENSG00000064042
ENSG00000184060,194.33333333333331,16.034594,59.51384,3,192.729873975118,ENSG00000184060
ENSG00000169403,196.66666666666663,13.155356,48.175205,3,195.35113100210825,ENSG00000169403
ENSG00000123338,196.33333333333331,7.2632384,31.360695,3,195.60700949033105,ENSG00000123338
ENSG00000103966,200.0,14.893399,3.0265691,3,198.5106600522995,ENSG00000103966
ENSG00000095951,202.66666666666663,8.943215,2.6457846,3,201.77234510580695,ENSG00000095951
ENSG00000171992,203.66666666666663,11.367912,3.4632728,3,202.5298754374186,ENSG00000171992
ENSG00000173451,204.33333333333331,8.850375,5.029307,3,203.44829579194388,ENSG00000173451
ENSG00000173334,206.66666666666663,8.834613,2.6088707,3,205.78320537010828,ENSG00000173334
ENSG00000108861,206.66666666666663,8.360858,14.102421,3,205.83058087031048,ENSG00000108861
ENSG00000162144,206.66666666666663,8.119361,13.965088,3,205.85473058621088,ENSG00000162144
ENSG00000141540,211.33333333333331,7.3624763,2.0855148,3,210.5970856746038,ENSG00000141540
ENSG00000145016,212.0,10.324414,7.087749,3,210.96755862236023,ENSG00000145016
ENSG00000176014,213.33333333333331,18.624603,3.726554,3,211.4708729585012,ENSG00000176014
ENSG00000071282,215.0,21.224012,1.3898648,3,212.8775987625122,ENSG00000071282
ENSG00000148516,216.33333333333331,18.408638,1.5575987,3,214.49246950944263,ENSG00000148516
ENSG00000004399,217.0,15.166207,20.840624,3,215.4833792448044,ENSG00000004399
ENSG00000232629,217.0,7.4025254,27.210054,3,216.25974744558332,ENSG00000232629
ENSG00000000971,229.0,22.83703,2.9123013,3,226.7162969112396,ENSG00000000971
ENSG00000128641,229.66666666666663,18.258245,1.8426591,3,227.8408421675364,ENSG00000128641
ENSG00000119844,230.0,6.9852414,2.7032864,3,229.3014758825302,ENSG00000119844
ENSG00000180304,232.66666666666663,8.326283,25.304276,3,231.8340382973353,ENSG00000180304
ENSG00000099331,233.66666666666663,9.69663,14.547494,3,232.69700370232263,ENSG00000099331
ENSG00000152689,236.33333333333331,7.5370145,10.318953,3,235.5796318848928,ENSG00000152689
ENSG00000229124,236.66666666666663,6.6176734,3.0215313,3,236.0048993031184,ENSG00000229124
ENSG00000131016,240.66666666666663,14.74141,1.2822082,3,239.1925256649653,ENSG00000131016
ENSG00000144724,242.33333333333331,16.959705,2.7445116,3,240.63736279805505,ENSG00000144724
ENSG00000139687,245.33333333333331,7.356039,26.789335,3,244.59772940476736,ENSG00000139687
ENSG00000116717,245.33333333333331,5.5142245,1.9742244,3,244.78191085656485,ENSG00000116717
ENSG00000155849,245.66666666666663,6.5428047,34.92838,3,245.012386182944,ENSG00000155849
ENSG00000135905,247.66666666666663,7.569914,15.879601,3,246.90967528025308,ENSG00000135905
ENSG00000136052,248.0,7.3641725,3.1735623,3,247.2635827660561,ENSG00000136052
ENSG00000113615,248.33333333333331,9.133483,2.0254734,3,247.41998501618704,ENSG00000113615
ENSG00000181467,253.0,7.775122,11.62899,3,252.22248780727384,ENSG00000181467
ENSG00000163563,255.0,19.118675,31.287703,3,253.0881325006485,MNDA
ENSG00000117036,256.3333333333333,10.765607,15.095292,3,255.2567725976308,ENSG00000117036
ENSG00000176170,259.0,18.257177,3.7129028,3,257.1742823123932,ENSG00000176170
ENSG00000131378,258.3333333333333,7.9491544,2.9549615,3,257.5384178956349,ENSG00000131378
ENSG00000130508,261.6666666666667,20.78462,2.4579074,3,259.58820454279584,ENSG00000130508
ENSG00000197629,261.0,10.009431,12.660026,3,259.9990569353104,ENSG00000197629
ENSG00000129667,262.3333333333333,6.5530467,31.014246,3,261.67802866299945,ENSG00000129667
ENSG00000166147,265.6666666666667,28.708029,4.901687,3,262.7958637873332,FBN1
ENSG00000138448,265.6666666666667,16.97139,2.8246138,3,263.9695276419322,ENSG00000138448
ENSG00000101384,267.0,16.088316,4.1467133,3,265.3911683559418,ENSG00000101384
