gene_symbol,DE_Immune,DE_Malignant,HVG,SpaPROS,scGeneFit,RandomForest,methods_count
CXCL7,0,0,0,0,0,0,0
TNFRSF7,0,0,0,0,0,0,0
IL12,0,0,0,0,0,0,0
TNFSF3,0,0,0,0,0,0,0
TNFRSF19,0,0,0,0,0,0,0
TNFSF12,0,0,0,0,0,0,0
TNFSF7,0,0,0,0,0,0,0
LIF,0,0,0,0,0,0,0
TNFRSF8,0,0,0,0,0,0,0
TNFSF6,0,0,0,0,0,0,0
CCL4,0,0,0,0,0,0,0
TNFSF13,0,0,0,0,0,0,0
CSF1,0,0,0,0,0,0,0
TNFRSF23,0,0,0,0,0,0,0
TNFSF15,0,0,0,0,0,0,0
CCR3,0,0,0,0,0,0,0
TNFRSF16,0,0,0,0,0,0,0
TNFSF10,0,0,0,0,0,0,0
TNFRSF20,0,0,0,0,0,0,0
IL8,0,0,0,0,0,0,0
TNFSF8,0,0,0,0,0,0,0
TNFRSF5,0,0,0,0,0,0,0
TNFRSF14,0,0,0,0,0,0,0
TNFRSF25,0,0,0,0,0,0,0
CX3CL1,0,0,0,0,0,0,0
TNFRSF1,0,0,0,0,0,0,0
CD40,0,0,0,0,0,0,0
TNFRSF6,0,0,0,0,0,0,0
TNFSF16,0,0,0,0,0,0,0
TNFRSF24,0,0,0,0,0,0,0
CCL23,0,0,0,0,0,0,0
IL24,0,0,0,0,0,0,0
CD274,0,0,0,0,0,0,0
IL27,0,0,0,0,0,0,0
CCL10,0,0,0,0,0,0,0
CXCR2,0,0,0,0,0,0,0
CCL6,0,0,0,0,0,0,0
CCL15,0,0,0,0,0,0,0
IL1,0,0,0,0,0,0,0
IL11,0,0,0,0,0,0,0
CCL26,0,0,0,0,0,0,0
IL34,0,0,0,0,0,0,0
CCL3,0,0,0,0,0,0,0
TNFRSF21,0,0,0,0,0,0,0
TNFSF2,0,0,0,0,0,0,0
IL3,0,0,0,0,0,0,0
TNFRSF22,0,0,0,0,0,0,0
IL25,0,0,0,0,0,0,0
CCL27,0,0,0,0,0,0,0
IL23A,0,0,0,0,0,0,0
CCL16,0,0,0,0,0,0,0
TNFRSF12,0,0,0,0,0,0,0
IL23,0,0,0,0,0,0,0
TNFSF4,0,0,0,0,0,0,0
IL7,0,0,0,0,0,0,0
ADORA2A,0,0,0,0,0,0,0
IL28,0,0,0,0,0,0,0
IL30,0,0,0,0,0,0,0
VSIR,0,0,0,0,0,0,0
IL10,0,0,0,0,0,0,0
IL16,0,0,0,0,0,0,0
IL36,0,0,0,0,0,0,0
TNF,0,0,0,0,0,0,0
TNFSF14,0,0,0,0,0,0,0
CCL18,0,0,0,0,0,0,0
TNFRSF10,0,0,0,0,0,0,0
TNFRSF2,0,0,0,0,0,0,0
IL18,0,0,0,0,0,0,0
IL12A,0,0,0,0,0,0,0
IL20,0,0,0,0,0,0,0
IL12B,0,0,0,0,0,0,0
CCL28,0,0,0,0,0,0,0
TNFRSF3,0,0,0,0,0,0,0
TNFSF19,0,0,0,0,0,0,0
TNFRSF9,0,0,0,0,0,0,0
IL15,0,0,0,0,0,0,0
TNFSF5,0,0,0,0,0,0,0
CXCL15,0,0,0,0,0,0,0
IL31,0,0,0,0,0,0,0
IL14,0,0,0,0,0,0,0
IL29,0,0,0,0,0,0,0
TNFRSF13,0,0,0,0,0,0,0
TNFSF11,0,0,0,0,0,0,0
TNFSF17,0,0,0,0,0,0,0
CCR1,0,0,0,0,0,0,0
CCL22,0,0,0,0,0,0,0
TNFSF9,0,0,0,0,0,0,0
IL26,0,0,0,0,0,0,0
IL17,0,0,0,0,0,0,0
TNFRSF11,0,0,0,0,0,0,0
IL5,0,0,0,0,0,0,0
CCL5,0,0,0,0,0,0,0
