gene_symbol,ensembl_id_x,category_major,category_minor,methods_present,aggregate_rank,aggregate_score,bio_relevance_score_0to5,rationale_short,spatial_suitability,pct_expr,mean_expr,gini_proxy,ensembl_id_y,aggregate_score_y,DE_Immune,DE_Malignant,HVG,SpaPROS,scGeneFit,RandomForest,methods_count
ADGRL4,ENSG00000162618,Other,Other,,75.0,15.117970308115614,0.7923617912735661,High-ranking informative gene,Yes,3.1339463562781447,0.0594589033762416,0.1780833414675738,ENSG00000162618,15.117970308115614,0,0,0,0,0,0,0
CLEC14A,ENSG00000176435,Other,Other,,76.0,15.113077906052608,0.7947546368345593,High-ranking informative gene,Yes,2.9341941501540987,0.0576767390013025,0.4330241864208806,ENSG00000176435,15.113077906052608,0,0,0,0,0,0,0
TNFRSF4,ENSG00000186827,Cytokines_Chemokines_Checkpoints,TNFR_superfamily,,77.0,15.107498355264172,2.458645575169264,TNFR superfamily,Yes,14.133803074104977,0.2769856818954454,0.339929521099056,ENSG00000186827,15.107498355264172,0,0,0,0,0,0,0
CXCL8,ENSG00000169429,Cytokines_Chemokines_Checkpoints,Chemokine,,78.0,15.103012168086323,2.178234093256896,Chemokine,Yes,3.7197175936461377,0.0789140206791686,3.472380219262452,ENSG00000169429,15.103012168086323,0,0,0,0,0,0,0
SPP1,ENSG00000118785,Immune_lineage_state,Immune_other,,79.0,15.099825927943442,2.616663879904319,Immune other marker,Yes,11.658954714404912,0.2817824919603545,10.222912924047083,ENSG00000118785,15.099825927943442,0,0,0,0,0,0,0
NDUFA4L2,ENSG00000185633,Other,Other,,80.0,15.092121699694022,0.9775703784806394,High-ranking informative gene,Yes,7.371446391396333,0.1627417118191158,0.6361716158111786,ENSG00000185633,15.092121699694022,0,0,0,0,0,0,0
CD36,ENSG00000135218,Other,Other,,81.0,15.090364329692813,0.9410118761538576,High-ranking informative gene,Yes,5.27980760856434,0.0954947716245358,1.9896118207028413,ENSG00000135218,15.090364329692813,0,0,0,0,0,0,0
APOC1,ENSG00000130208,Other,Other,,82.0,15.089096369397309,1.2949724639070082,High-ranking informative gene,Yes,15.136216395413854,0.3370364907629417,0.9577682557739912,ENSG00000130208,15.089096369397309,0,0,0,0,0,0,0
TYRP1,ENSG00000107165,Other,Other,,83.0,15.088210902481023,1.1304795540801658,High-ranking informative gene,Yes,1.390960861491081,0.0345106574286515,10.795984241162136,ENSG00000107165,15.088210902481023,0,0,0,0,0,0,0
A2M,ENSG00000175899,Other,Other,,84.0,15.082900681263466,1.4552728141380449,High-ranking informative gene,Yes,17.376756260166715,0.3321646953687298,3.272353637451843,ENSG00000175899,15.082900681263466,0,0,0,0,0,0,0
IGLL5,ENSG00000254709,Other,Other,,85.0,15.081836438023554,1.1758475230916996,High-ranking informative gene,Yes,2.201769394365911,0.0402630155620279,11.25029594730114,ENSG00000254709,15.081836438023554,0,0,0,0,0,0,0
FCGR3A,ENSG00000203747,Immune_lineage_state,Mono_Macrophage,,86.0,15.077003627475682,2.2103074152473963,Mono Macrophage marker,Yes,7.429883042414332,0.1489240003694021,4.220551757914684,ENSG00000203747,15.077003627475682,0,0,0,0,0,0,0
TIGIT,ENSG00000181847,Immune_lineage_state,Immune_other,,87.0,15.073096722532942,3.680406868251266,Immune other marker,Yes,19.16890720653141,0.3753488715082688,2.1222437630242843,ENSG00000181847,15.073096722532942,0,0,0,0,0,0,0
IGLC3,,Other,Other,,,15.068462142057804,,,,,,,,,0,0,0,0,0,0,0
CAVIN2,ENSG00000168497,Other,Other,,89.0,15.062084070412023,0.7619836767397572,High-ranking informative gene,Yes,2.38663149229788,0.041795646994486,0.2231906697578022,ENSG00000168497,15.062084070412023,0,0,0,0,0,0,0
S100A9,ENSG00000163220,Immune_lineage_state,Neutrophil_MDSC,,90.0,15.060919735833492,2.4323973821835003,Neutrophil MDSC marker,Yes,9.027900691406714,0.1836546437695098,8.433690625643454,ENSG00000163220,15.060919735833492,0,0,0,0,0,0,0
COL10A1,ENSG00000123500,Hypoxia_Angiogenesis_EMT_ECM_Vascular,ECM_Fibroblast,,91.0,15.059185606364622,1.6430450956310827,ECM Fibroblast,Yes,3.8579427489387257,0.0742466030208273,0.20330574197819,ENSG00000123500,15.059185606364622,0,0,0,0,0,0,0
CD68,ENSG00000129226,Other,Other,,92.0,15.056608877239617,1.2849757556253154,High-ranking informative gene,Yes,15.248875515886056,0.2403759899318464,1.352486965173712,ENSG00000129226,15.056608877239617,0,0,0,0,0,0,0
ALB,ENSG00000163631,Other,Other,,93.0,15.031004369841366,0.8866724707975165,High-ranking informative gene,Yes,1.2299791257539852,0.0310448957638222,4.619021951410231,ENSG00000163631,15.031004369841366,0,0,0,0,0,0,0
IGF2,ENSG00000167244,Other,Other,,94.0,15.0255607783418,0.9942592438583024,High-ranking informative gene,Yes,7.2821057422438,0.1661747573649758,1.2038038751523192,ENSG00000167244,15.0255607783418,0,0,0,0,0,0,0
RGS5,ENSG00000143248,Hypoxia_Angiogenesis_EMT_ECM_Vascular,Vasculature,,95.0,15.022090082142984,1.9032626229823568,Vasculature,Yes,4.118379169581473,0.0963719906739103,6.695986857560167,ENSG00000143248,15.022090082142984,0,0,0,0,0,0,0
IL1B,ENSG00000125538,Cytokines_Chemokines_Checkpoints,Cytokine,,96.0,15.016629979713883,2.1638026766427494,Cytokine,Yes,3.389044813606745,0.0748820547405595,3.5095690240146835,ENSG00000125538,15.016629979713883,0,0,0,0,0,0,0
G0S2,ENSG00000123689,Other,Other,,97.0,15.01390268717371,0.8988144349133709,High-ranking informative gene,Yes,4.320097993768641,0.07282916151362,1.9691044310182315,ENSG00000123689,15.01390268717371,0,0,0,0,0,0,0
IGF1,ENSG00000017427,Other,Other,,98.0,15.01346733780049,0.8949764028132727,High-ranking informative gene,Yes,5.727353690639731,0.0897498573878885,0.5232366514584159,ENSG00000017427,15.01346733780049,0,0,0,0,0,0,0
S100A8,ENSG00000143546,Immune_lineage_state,Neutrophil_MDSC,,99.0,15.012619766683905,2.152817934185108,Neutrophil MDSC marker,Yes,7.078420299993539,0.1512839168795005,3.0710883342213813,ENSG00000143546,15.012619766683905,0,0,0,0,0,0,0
CCL2,ENSG00000108691,Cytokines_Chemokines_Checkpoints,Chemokine,,100.0,15.011246350288513,2.307081734348952,Chemokine,Yes,7.14163302345051,0.1393318051432312,3.55049056974115,ENSG00000108691,15.011246350288513,0,0,0,0,0,0,0
CILP,ENSG00000138615,Other,Other,,101.0,15.000284908207032,0.7982437615266708,High-ranking informative gene,Yes,3.4463576828744067,0.0594165792392514,0.1983479182383945,ENSG00000138615,15.000284908207032,0,0,0,0,0,0,0
PTGDS,ENSG00000107317,Other,Other,,102.0,14.9777214186237,0.9820088524334648,High-ranking informative gene,Yes,5.694764019879699,0.1159728647759577,2.685810686515686,ENSG00000107317,14.9777214186237,0,0,0,0,0,0,0
MMP9,ENSG00000100985,Hypoxia_Angiogenesis_EMT_ECM_Vascular,ECM_Fibroblast,,103.0,14.954036275356724,1.7134166962217856,ECM Fibroblast,Yes,3.584020947291819,0.0599576391118544,2.518186178534476,ENSG00000100985,14.954036275356724,0,0,0,0,0,0,0
COMP,ENSG00000105664,Other,Other,,104.0,14.940280451498234,0.784026782691831,High-ranking informative gene,Yes,3.0668003966949584,0.0481127811667916,0.3070125489442397,ENSG00000105664,14.940280451498234,0,0,0,0,0,0,0
TTR,ENSG00000118271,Other,Other,,105.0,14.931048078637565,0.7530876540518272,High-ranking informative gene,Yes,1.4904155463967328,0.0240649489525073,1.0494718613216918,ENSG00000118271,14.931048078637565,0,0,0,0,0,0,0
RAMP3,ENSG00000122679,Other,Other,,106.0,14.91409172461037,0.8137931979429407,High-ranking informative gene,Yes,3.5548026217828266,0.0616858099502669,0.5959333221423665,ENSG00000122679,14.91409172461037,0,0,0,0,0,0,0
AMBP,ENSG00000106927,Other,Other,,107.0,14.87458154848023,0.741947407765779,High-ranking informative gene,Yes,0.8498599486993612,0.0145241573777062,1.4480734828313575,ENSG00000106927,14.87458154848023,0,0,0,0,0,0,0
RBP7,ENSG00000162444,Other,Other,,108.0,14.74284940921222,0.8982554743389132,High-ranking informative gene,Yes,5.807423140351915,0.0914269423152562,0.8406636529539399,ENSG00000162444,14.74284940921222,0,0,0,0,0,0,0
IGFBP3,ENSG00000146674,Other,Other,,109.0,14.71628664030913,1.0756560280367249,High-ranking informative gene,Yes,8.90372280799346,0.1524728313780544,2.397137981014837,ENSG00000146674,14.71628664030913,0,0,0,0,0,0,0
